Date,Year,Month,cashInReport,Card2,Card,DD,UE,GH,CN,DD2,UE2,GH2,CN2,DD Fees,UE Fees,GH Fees,Catering,otherCash,Foodja,Foodja2,Foodja Fees,Zelle,Ez Cater,Ez Cater2,EzCater Fees,Relish,Relish2,Relish Fees,waiter.com,CC Fees,createdAt,updatedAt,createdBy
24-Dec-23,2023,Dec,327.97,3436.36,3610.41,243.93,106.17,42.12,,2013.3,,,,-1769.37,106.17,42.12,820,,,,0,,,,0,,,0,,174.05,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
25-Dec-23,2023,Dec,173.47,3162.81,3341.7,76.76,137.42,,,,,,,76.76,137.42,0,1020,,,,0,,,,0,,,0,,178.89,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
26-Dec-23,2023,Dec,202.4,1336.5,1403.72,184.5,18.58,60.68,,,,,,184.5,18.58,60.68,0,,,,0,,,,0,,,0,,67.22,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
27-Dec-23,2023,Dec,446.05,2192.6,2310.02,91.65,154.02,39.62,,,,,,91.65,154.02,39.62,173,,,,0,,,,0,,,0,,117.42,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
28-Dec-23,2023,Dec,91.39,2181.83,2291.77,43.01,379.79,19.81,,,,,,43.01,379.79,19.81,200,,0,,0,,,,0,,,0,,109.94,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
29-Dec-23,2023,Dec,0,2782.05,2922.85,44.57,148.59,50.78,,,,,,44.57,148.59,50.78,250,,,,0,,,,0,,,0,,140.8,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
30-Dec-23,2023,Dec,296.17,2695.4,2831.21,340.05,128.79,73.06,,,,,,340.05,128.79,73.06,1690,,,,0,,,,0,,,0,,135.81,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
31-Dec-23,2023,Dec,200.27,5212.65,5473.52,289.25,246.42,198.06,,1069.79,4213.35,40.34,,-780.54,-3966.93,157.72,5700,50,,,0,,,,0,,,0,,260.87,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
1-Jan-24,2024,Jan,201.6,2190.37,2301.24,275.8,183.29,38.4,,,,,,275.8,183.29,38.4,260,,,,0,,,,0,,,0,,110.87,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
2-Jan-24,2024,Jan,210.91,1084.92,1140.11,23.52,22.29,,,,,,,23.52,22.29,0,,6,,,0,,,,0,,,0,,55.19,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
3-Jan-24,2024,Jan,359.63,1222.8,1284.51,173.36,101.25,17.34,,,,,,173.36,101.25,17.34,,,,,0,,,,0,,,0,,61.71,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
4-Jan-24,2024,Jan,45.22,1376.27,1448.45,201.34,22.29,35.92,,,,,,201.34,22.29,35.92,,,,,0,,,,0,,,0,,72.18,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
5-Jan-24,2024,Jan,233.82,2156.89,2271.48,528.49,298.43,40.87,,,,,,528.49,298.43,40.87,50,,,,0,,,,0,,,0,,114.59,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
6-Jan-24,2024,Jan,188.11,2615.91,2751.39,319.52,126.03,237.77,,,,,,319.52,126.03,237.77,610,,,,0,,,,0,,,0,,135.48,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
7-Jan-24,2024,Jan,,2235.76,2351.07,84.2,197.55,47.06,,1606.23,,,,-1522.03,197.55,47.06,,,,,0,,,,0,,,0,,115.31,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
8-Jan-24,2024,Jan,,2707.13,2855.83,42.11,172.14,71.7,,,,,,42.11,172.14,71.7,,,,,0,,,,0,,,0,,148.7,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
9-Jan-24,2024,Jan,126.97,1113.41,1168.71,88.66,154.8,139.92,,,,,,88.66,154.8,139.92,,,,,0,,,,0,,,0,,55.3,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
10-Jan-24,2024,Jan,29.07,2488.78,2612.97,251.4,111.11,153.58,,,,,,251.4,111.11,153.58,20,,,,0,,,,0,,,0,,124.19,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
11-Jan-24,2024,Jan,,1680.24,1738.7,184.03,157.26,39.63,,,,,,184.03,157.26,39.63,,,,,0,,,,0,,,0,,58.46,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
12-Jan-24,2024,Jan,197.64,2845.14,2934.68,382.64,439.61,120.13,,,,,,382.64,439.61,120.13,,,,,0,,,,0,,,0,,89.54,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
13-Jan-24,2024,Jan,72.7,3189.06,3290.17,693.89,226.63,112.66,,,,,,693.89,226.63,112.66,,,,,0,,,,0,,,0,,101.11,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
